"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"194","Braxton Berrios","WR","MIA","5.7","3.8","4.3","14.4","2.3","","","","","","","","","","","","","","6.1","30.5"
"195","Nelson Agholor","WR","BAL","0","14.8","5.9","0.9","8.4","","","","","","","","","","","","","","6","30"
"195","Tennessee Titans","DST","TEN","9","3","5","12","1","","","","","","","","","","","","","","6","30"
"197","Roschon Johnson","RB","CHI","14.5","5.2","5.9","2","1.9","","","","","","","","","","","","","","5.9","29.5"
"198","Kyle Pitts","TE","ATL","5.4","2.5","6.2","3.1","12.2","","","","","","","","","","","","","","5.9","29.4"
"198","AJ Dillon","RB","GB","4.6","6.8","3.3","1.1","13.6","","","","","","","","","","","","","","5.9","29.4"
"200","Jerry Jeudy","WR","DEN","-","4","10.6","6.7","8","","","","","","","","","","","","","","7.3","29.3"
"201","Arizona Cardinals","DST","ARI","19","4","5","-3","4","","","","","","","","","","","","","","5.8","29"
"201","Washington Commanders","DST","WAS","11","10","1","8","-1","","","","","","","","","","","","","","5.8","29"
"203","Tyler Conklin","TE","NYJ","0.7","7.5","4.1","7.8","8.7","","","","","","","","","","","","","","5.8","28.8"
"204","Latavius Murray","RB","BUF","2.2","10.1","8.6","6.6","1.2","","","","","","","","","","","","","","5.7","28.7"
"205","Jahan Dotson","WR","WAS","6.5","3.7","3.1","10.7","4.5","","","","","","","","","","","","","","5.7","28.5"
"206","Tyler Boyd","WR","CIN","2","8.2","6.4","4.6","6.9","","","","","","","","","","","","","","5.6","28.1"
"207","Miami Dolphins","DST","MIA","2","9","8","-2","11","","","","","","","","","","","","","","5.6","28"
"207","Minnesota Vikings","DST","MIN","2","5","2","17","2","","","","","","","","","","","","","","5.6","28"
"209","Joshua Kelley","RB","LAC","15.1","3.9","2.2","6.5","BYE","","","","","","","","","","","","","","6.9","27.7"
"210","Aaron Jones","RB","GB","25.7","-","-","1.9","-","","","","","","","","","","","","","","13.8","27.6"
"211","Chuba Hubbard","RB","CAR","7.9","7.5","1.4","6.3","4","","","","","","","","","","","","","","5.4","27.1"
"212","Greg Joseph","K","MIN","5","4","6","3","9","","","","","","","","","","","","","","5.4","27"
